2020-09-23 19:47:53,309 - 2 - INFO - 页面"91手机助手"跳转正常,该类元素共57个，当前第42个
2020-09-23 19:47:59,482 - 2 - INFO - 页面"pp助手"跳转正常,该类元素共57个，当前第43个
2020-09-23 19:48:05,677 - 2 - INFO - 页面"完美游戏平台官方版"跳转正常,该类元素共57个，当前第44个
2020-09-23 19:48:11,822 - 2 - INFO - 页面"QQ游戏大厅(QQGame)"跳转正常,该类元素共57个，当前第45个
2020-09-23 19:48:17,963 - 2 - INFO - 页面"wegame"跳转正常,该类元素共57个，当前第46个
2020-09-23 19:48:24,080 - 2 - INFO - 页面"steam平台"跳转正常,该类元素共57个，当前第47个
2020-09-23 19:48:30,247 - 2 - INFO - 页面"Birdie EML to PDF Converter(EML到PDF转换器)"跳转正常,该类元素共57个，当前第48个
2020-09-23 19:48:36,414 - 2 - INFO - 页面"轻推"跳转正常,该类元素共57个，当前第49个
2020-09-23 19:48:42,534 - 2 - INFO - 页面"acdsee"跳转正常,该类元素共57个，当前第50个
2020-09-23 19:48:48,664 - 2 - ERROR - 页面"WPS Office"跳转异常,该类元素共57个，当前第51个
2020-09-23 19:48:55,036 - 2 - INFO - 页面"福昕pdf阅读器"跳转正常,该类元素共57个，当前第52个
2020-09-23 19:49:01,196 - 2 - INFO - 页面"为知笔记"跳转正常,该类元素共57个，当前第53个
2020-09-23 19:49:07,330 - 2 - INFO - 页面"遂宁之窗"跳转正常,该类元素共57个，当前第54个
2020-09-23 19:49:13,459 - 2 - INFO - 页面"Dreamweaver"跳转正常,该类元素共57个，当前第55个
2020-09-23 19:49:19,581 - 2 - INFO - 页面"Visual Studio"跳转正常,该类元素共57个，当前第56个
2020-09-23 19:49:25,720 - 2 - INFO - 页面"Java开发工具"跳转正常,该类元素共57个，当前第57个
2020-09-23 19:49:31,866 - 2 - INFO - 页面"SFX Silhouette v4.5.4 For 64bit 破解版"跳转正常,该类元素共11个，当前第1个
2020-09-23 19:49:38,020 - 2 - INFO - 页面"idm uestudio portable"跳转正常,该类元素共11个，当前第2个
2020-09-23 19:49:44,177 - 2 - INFO - 页面"DiskDigger Portable"跳转正常,该类元素共11个，当前第3个
2020-09-23 19:49:50,356 - 2 - INFO - 页面"坚果云"跳转正常,该类元素共11个，当前第4个
2020-09-23 19:49:56,496 - 2 - INFO - 页面"星影影视盒"跳转正常,该类元素共11个，当前第5个
2020-09-23 19:50:02,644 - 2 - INFO - 页面"愤怒的小鸟之星球大战美化主题包"跳转正常,该类元素共11个，当前第6个
2020-09-23 19:50:08,771 - 2 - INFO - 页面"金山U盘卫士"跳转正常,该类元素共11个，当前第7个
2020-09-23 19:50:14,932 - 2 - INFO - 页面"微博AIR SinaTair V1.67.0 正式版"跳转正常,该类元素共11个，当前第8个
2020-09-23 19:50:21,046 - 2 - INFO - 页面"qq中文输入法"跳转正常,该类元素共11个，当前第9个
2020-09-23 19:50:27,202 - 2 - INFO - 页面"Core Technologies AlwaysUp v9.03.81 注册版 _ 软件变后台服务"跳转正常,该类元素共11个，当前第10个
2020-09-23 19:50:33,378 - 2 - INFO - 页面"Womble EasyDVD v1.0.1.28 官方中文注册版"跳转正常,该类元素共11个，当前第11个
2020-09-23 19:50:41,564 - 2 - INFO - 页面"啪啪三国2手游下载-QQ下载站"跳转正常,该类元素共36个，当前第1个
2020-09-23 19:50:47,722 - 2 - INFO - 页面"小米枪战战场前线下载-QQ下载站"跳转正常,该类元素共36个，当前第2个
2020-09-23 19:50:53,884 - 2 - INFO - 页面"我的世界0.14.1下载-QQ下载站"跳转正常,该类元素共36个，当前第3个
2020-09-23 19:51:00,095 - 2 - INFO - 页面"火影忍者疾风传手游下载-QQ下载站"跳转正常,该类元素共36个，当前第4个
2020-09-23 19:51:06,250 - 2 - INFO - 页面"球球大作战v9.0.0最新预览版本下载-QQ下载站"跳转正常,该类元素共36个，当前第5个
2020-09-23 19:51:12,406 - 2 - INFO - 页面"皇室战争安卓版下载-QQ下载站"跳转正常,该类元素共36个，当前第6个
2020-09-23 19:51:18,549 - 2 - INFO - 页面"qq飞车手游破解版下载-QQ下载站"跳转正常,该类元素共36个，当前第7个
2020-09-23 19:51:24,695 - 2 - INFO - 页面"绝地求生手游吃鸡版下载-QQ下载站"跳转正常,该类元素共36个，当前第8个
2020-09-23 19:51:30,847 - 2 - INFO - 页面"阴阳师手游网易版下载-QQ下载站"跳转正常,该类元素共36个，当前第9个
2020-09-23 19:51:36,972 - 2 - INFO - 页面"开心消消乐手游下载-QQ下载站"跳转正常,该类元素共36个，当前第10个
2020-09-23 19:51:43,100 - 2 - INFO - 页面"剑侠世界2手游下载-QQ下载站"跳转正常,该类元素共36个，当前第11个
2020-09-23 19:51:49,240 - 2 - INFO - 页面"天天飞车无限金币版下载-QQ下载站"跳转正常,该类元素共36个，当前第12个
2020-09-23 19:51:55,386 - 2 - INFO - 页面"魂斗罗归来手游下载-QQ下载站"跳转正常,该类元素共36个，当前第13个
2020-09-23 19:52:01,515 - 2 - INFO - 页面"梦幻诛仙官方版下载-QQ下载站"跳转正常,该类元素共36个，当前第14个
2020-09-23 19:52:08,866 - 2 - INFO - 页面"问道官方最新版下载-QQ下载站"跳转正常,该类元素共36个，当前第15个
2020-09-23 19:52:15,021 - 2 - INFO - 页面"植物大战僵尸2最新破解版下载-QQ下载站"跳转正常,该类元素共36个，当前第16个
